theta, lc
0.14084077382868537, 1700.6618374600653
0.14631856930722306, 1386.1434826658387
0.1520094156125135, 1091.0114383007951
0.15692050324763682, 895.9086746242181
0.1599429912640794, 740.2771376256311
0.1640637281854499, 589.2215550967528
0.1693642639688233, 485.06123847112497
0.17372772853942625, 408.37559312122045
0.17820361247532346, 336.1796479058643
0.1816360401826413, 275.3656330282491
0.18750429845756036, 224.43658540013703
0.19233511898594488, 190.37388908513367
0.19729039973827858, 160.27677271220017
0.2023733472810764, 134.93785305583856
0.20758725079414475, 114.45836170265754
0.21293548419901392, 96.36309323608926
0.21981495820603503, 78.34497391504969
0.22836433883951987, 62.28253584383593
0.23574228497699304, 51.40054684311334
0.2433585962177221, 41.9986337171253
0.2512209736103987, 35.09571967129134
0.25769337689107635, 29.99289618165211
0.2660188793068542, 24.629343857380622
0.2763652937340091, 19.87508676422159
0.2852940444391237, 16.23964219008038
0.29451126330924204, 13.46929683238953
0.3079177981915414, 11.130142932335168
0.32193461593885153, 9.083203032366141
0.33445579099089784, 7.440399550095981
0.34746395879526637, 6.1558428397676295
0.36097806022131157, 5.042486679232294
0.3750177728157399, 4.192789319288679
0.3920890684811192, 3.5300850103804597
0.4099374716779806, 2.9721264846732054
0.4258813888249583, 2.4590001405668156
0.4452680622949258, 2.0067664601589357
0.4655372422986212, 1.6582601015722662
0.4836436310355662, 1.3857278559601076
0.5024542412252883, 1.1872394461372635
0.5253266103023003, 0.9859642093046448
0.5527441119604732, 0.8056520006146086
0.5779057412126715, 0.6757784717581112
0.6042127604797529, 0.5584189787232156
0.6357474363127746, 0.452893395290149
0.6689279492497724, 0.37284888552737416
0.7038401977406681, 0.3069514655870465
0.7405745633909036, 0.2536482291136129
0.7792261449433522, 0.21196772634518896
0.8198950044720591, 0.17581548614182646
0.8572176890232978, 0.1469226412539015
0.8962393506075875, 0.12416411918517603
0.9370373288641729, 0.10893215840583599
